algorithm,case,n,time(ms),comparisons,swaps
SelectionSort,random,100,0,4389,65
SelectionSortOptimized,random,100,0,4389,65
SelectionSort,random,1000,9,413595,584
SelectionSortOptimized,random,1000,10,413595,584
SelectionSort,random,10000,134,48308634,8162
SelectionSortOptimized,random,10000,111,48308634,8162
SelectionSort,random,100000,2856,2599571172,30711
SelectionSortOptimized,random,100000,2333,2599571172,30711
SelectionSort,sorted,100,0,99,0
SelectionSortOptimized,sorted,100,0,99,0
SelectionSort,sorted,1000,0,999,0
SelectionSortOptimized,sorted,1000,0,999,0
SelectionSort,sorted,10000,0,9999,0
SelectionSortOptimized,sorted,10000,0,9999,0
SelectionSort,sorted,100000,0,99999,0
SelectionSortOptimized,sorted,100000,0,99999,0
SelectionSort,reversed,100,0,3774,50
SelectionSortOptimized,reversed,100,0,3774,50
SelectionSort,reversed,1000,1,375249,500
SelectionSortOptimized,reversed,1000,1,375249,500
SelectionSort,reversed,10000,50,37502499,5000
SelectionSortOptimized,reversed,10000,47,37502499,5000
SelectionSort,reversed,100000,4855,3750024999,50000
SelectionSortOptimized,reversed,100000,4776,3750024999,50000
SelectionSort,nearly,100,0,197,1
SelectionSortOptimized,nearly,100,0,197,1
SelectionSort,nearly,1000,0,1997,1
SelectionSortOptimized,nearly,1000,0,1997,1
SelectionSort,nearly,10000,0,19997,1
SelectionSortOptimized,nearly,10000,0,19997,1
SelectionSort,nearly,100000,0,199997,1
SelectionSortOptimized,nearly,100000,0,199997,1
